annotation,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,estimate,std.error,p.value.orig,fdr_significant
Brain_Non-Myeloid.neuron,0.003224834928317531,0.0031495782152127783,2.2644712624978514,42.851126434810425,3.0622238337595724e-11,2,-29622.998788771227,59251.997577542454,59274.47215671451,67918.10965699822,13245,0.5336716942195785,0.08152542043393296,6.124447667519145e-11,TRUE
Brain_Non-Myeloid.oligodendrocyte precursor cell,0.0010774006972147602,0.0010019818524202861,2.2669092179208143,14.28556351069603,7.887686543660276e-5,2,-29637.25298735095,59280.5059747019,59302.98055387395,68064.43119338877,13245,0.33423994094076964,0.08843204286365133,1.5775373087320552e-4,TRUE
Brain_Non-Myeloid.oligodendrocyte,0.0010374869601849086,9.620651018957815e-4,2.2669545066722376,13.75578623649657,1.0451445603577438e-4,2,-29637.51763583912,59281.03527167824,59303.5098508503,68067.15082933418,13245,0.3540161942101224,0.09545098618257872,2.0902891207154876e-4,TRUE
Pancreas.type B pancreatic cell,9.752178347536312e-4,8.997912751337322e-4,2.2670251595110424,12.929369172721199,1.6232149205203637e-4,2,-29637.930490869196,59281.86098173839,59304.33556091045,68071.39371322362,13245,0.3265370241941929,0.09081210917340402,3.2464298410407274e-4,TRUE
Pancreas.pancreatic A cell,5.819577032068054e-4,5.065014523727429e-4,2.267471316057509,7.712518138315853,0.002745814235966103,2,-29640.53727899747,59287.07455799494,59309.549137167,68098.1896103066,13245,0.26735607432387976,0.09627021827532582,0.005491628471932206,FALSE
Brain_Non-Myeloid.astrocyte,5.177005888154774e-4,4.4223948655719436e-4,2.2675442078884025,6.860495981670277,0.004411125295838167,2,-29640.963120134656,59287.92624026931,59310.40081944137,68102.56795147559,13245,0.2468889012258478,0.09425921307441182,0.008822250591676333,FALSE
Pancreas.pancreatic PP cell,3.3196415705212784e-4,2.5648903165820247e-4,2.267754889961276,4.398325346521532,0.01799657427401824,2,-29642.193868255625,59290.38773651125,59312.862315683305,68115.22363129372,13245,0.24339440948535745,0.11605581964000088,0.03599314854803648,FALSE
Brain_Non-Myeloid.brain pericyte,2.99522543088923e-4,2.24044968347048e-4,2.2677916866923895,3.9683646978990037,0.02319163607744483,2,-29642.408813153153,59290.81762630631,59313.29220547836,68117.43413289108,13245,0.23641691711454826,0.118678694701781,0.04638327215488966,FALSE
Pancreas.pancreatic acinar cell,2.9882106920212846e-4,2.2334344149876895e-4,2.2677924823288853,3.9590681145492246,0.023320016358815896,2,-29642.413460755866,59290.82692151173,59313.30150068379,68117.48192980861,13245,0.25929242325174,0.13031467931673368,0.04664003271763179,FALSE
Heart.smooth muscle cell,2.1060776897786513e-4,1.3512348115374273e-4,2.267892534749762,2.7900875142184463,0.047436337632714494,2,-29642.997890412953,59291.995780825906,59314.47035999796,68123.49259380565,13245,0.2237245665153228,0.1339382938542966,0.09487267526542899,FALSE
Brain_Non-Myeloid.Bergmann glial cell,1.7703407611939989e-4,1.0154725347499838e-4,2.267930613213475,2.3452315240976063,0.06284538612648968,2,-29643.22030887697,59292.44061775394,59314.915196926,68125.780232817,13245,0.1831604337928447,0.1196020990773538,0.12569077225297937,FALSE
Pancreas.pancreatic D cell,1.1852407809451658e-4,4.303283793438695e-5,2.2679969722984907,1.5700375016093242,0.10511184380982005,2,-29643.607907127905,59293.21581425581,59315.69039342787,68129.76697787359,13245,0.11749192724309164,0.09376764628562463,0.2102236876196401,FALSE
Marrow.megakaryocyte-erythroid progenitor cell,7.756754896761705e-5,2.073216581743864e-6,2.2680434219703236,1.0274618837760703,0.1553870302233303,2,-29643.879209298655,59293.75841859731,59316.232997769366,68132.55766742313,13245,0.11510326716290137,0.11355461554854522,0.3107740604466606,FALSE
Marrow.Slamf1-negative multipotent progenitor cell,4.944609431499654e-5,-2.605036124592175e-5,2.2680753145600594,0.6549459037190557,0.20918222888435917,2,-29644.065483583254,59294.13096716651,59316.605546338564,68134.47380268386,13245,0.07756594023968263,0.0958447538090717,0.41836445776871833,FALSE
Marrow.common lymphoid progenitor,4.306338091950577e-5,-3.243355653759217e-5,2.2680825531437745,0.5703990435901442,0.22505691008835166,2,-29644.107761440973,59294.21552288195,59316.690102054,68134.9087070068,13245,0.07475654098247106,0.09898281572513615,0.4501138201767033,FALSE
Large_Intestine.enteroendocrine cell,2.1028524632878277e-5,-5.4470076459978145e-5,2.2681075425187953,0.2785286658093827,0.29883802371809687,2,-29644.253713988783,59294.507427977565,59316.98200714962,68136.41011458395,13245,0.06628406435783897,0.12559552940795177,0.5976760474361937,FALSE
Marrow.macrophage,1.7005352383211153e-5,-5.849355245990395e-5,2.268112105103813,0.2252397225964852,0.3175420072868218,2,-29644.280361976944,59294.56072395389,59317.035303125944,68136.68424486287,13245,0.0586695346923856,0.12362040211669384,0.6350840145736436,FALSE
